000000<_Read_Content>端口错误2018-01-25 09:21:17
000001<_InitComm_1001>入口2018-01-25 09:21:18
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:18
000001<_Authenticate>入口2018-01-25 09:21:18
000000<_Read_Content>入口2018-01-25 09:21:18
000000<_Read_Content>端口错误2018-01-25 09:21:18
000001<_InitComm_1001>入口2018-01-25 09:21:19
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:19
000001<_Authenticate>入口2018-01-25 09:21:19
000000<_Read_Content>入口2018-01-25 09:21:19
000000<_Read_Content>端口错误2018-01-25 09:21:19
000001<_InitComm_1001>入口2018-01-25 09:21:19
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:19
000001<_Authenticate>入口2018-01-25 09:21:19
000000<_Read_Content>入口2018-01-25 09:21:19
000000<_Read_Content>端口错误2018-01-25 09:21:19
000001<_InitComm_1001>入口2018-01-25 09:21:20
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:20
000001<_Authenticate>入口2018-01-25 09:21:20
000000<_Read_Content>入口2018-01-25 09:21:20
000000<_Read_Content>端口错误2018-01-25 09:21:20
000001<_InitComm_1001>入口2018-01-25 09:21:21
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:21
000001<_Authenticate>入口2018-01-25 09:21:21
000000<_Read_Content>入口2018-01-25 09:21:21
000000<_Read_Content>端口错误2018-01-25 09:21:21
000001<_InitComm_1001>入口2018-01-25 09:21:22
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:22
000001<_Authenticate>入口2018-01-25 09:21:22
000000<_Read_Content>入口2018-01-25 09:21:22
000000<_Read_Content>端口错误2018-01-25 09:21:22
000001<_InitComm_1001>入口2018-01-25 09:21:22
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:22
000001<_Authenticate>入口2018-01-25 09:21:22
000000<_Read_Content>入口2018-01-25 09:21:22
000000<_Read_Content>端口错误2018-01-25 09:21:22
000001<_InitComm_1001>入口2018-01-25 09:21:23
000000<_InitComm>---Error:Can not open the port.(OpenComm).2018-01-25 09:21:23
000001<_Authenticate>入口2018-01-25 09:21:23
000000<_Read_Content>入口2018-01-25 09:21:23
000000<_Read_Content>端口错误2018-01-25 09:21:23
